"","Species","Oxygen","Gram","Motility","MedianGC","antimicrobial_susceptibility","optimal_temp","optimal_ph","pathogenicity"
"2307","LentilactobacillusseniorisDSM24302JCM17472",NA,NA,NA,NA,NA,NA,NA,NA
"2308","Lentilactobacillussunkii",NA,NA,NA,NA,NA,NA,NA,NA
"2309","Lentimicrobiumsaccharophilum",NA,NA,NA,NA,NA,NA,NA,NA
"2310","Leptoelongatuslitoralis",NA,NA,NA,NA,NA,NA,NA,NA
"2311","Leptogranulimonascaecicola",NA,NA,NA,NA,NA,NA,NA,NA
"2312","LeptonemailliniDSM21528",NA,NA,NA,NA,NA,NA,NA,NA
"2313","Leptospirabroomii",NA,NA,NA,NA,NA,NA,NA,NA
"2314","LeptospirafaineiserovarHurstbridgestrBUT6",NA,NA,NA,NA,NA,NA,NA,NA
"2315","LeptospirainadaiserovarLyme",NA,NA,NA,NA,NA,NA,NA,NA
"2316","Leptotrichiabuccalis",NA,NA,NA,NA,NA,NA,NA,NA
"2317","LeptotrichiabuccalisC1013b","Anaerobe","Gram-","Nonmotile",503,NA,NA,NA,NA
"2318","Leptotrichiahofstadii",NA,NA,NA,NA,NA,NA,NA,NA
"2319","Leptotrichiamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2320","Leptotrichiashahii",NA,NA,NA,NA,NA,NA,NA,NA
"2321","Leptotrichiawadei","Anaerobe","Gram-","Nonmotile",2278,NA,NA,NA,NA
"2322","Leucobacteraerolatus",NA,NA,NA,NA,NA,NA,NA,NA
"2323","Leucobacteralbus",NA,NA,NA,NA,NA,NA,NA,NA
"2324","Leucobacteralluvii",NA,NA,NA,NA,NA,NA,NA,NA
"2325","Leucobacteraridicollis",NA,NA,NA,NA,NA,NA,NA,NA
"2326","Leucobacterchironomi",NA,NA,NA,NA,NA,NA,NA,NA
"2327","LeucobacterchromiiresistensJG31",NA,NA,NA,NA,NA,NA,NA,NA
"2328","Leucobactercorticis",NA,NA,NA,NA,NA,NA,NA,NA
"2329","Leucobacterexalbidus",NA,NA,NA,NA,NA,NA,NA,NA
"2330","Leucobacterholotrichiae",NA,NA,NA,NA,NA,NA,NA,NA
"2331","Leucobacterjaponicus",NA,NA,NA,NA,NA,NA,NA,NA
"2332","Leucobactermuris",NA,NA,NA,NA,NA,NA,NA,NA
"2333","Leucobactermusarumsubspmusarum",NA,NA,NA,NA,NA,NA,NA,NA
"2334","LeucobactersalsiciusM18",NA,NA,NA,NA,NA,NA,NA,NA
"2335","Leucobacterviscericola",NA,NA,NA,NA,NA,NA,NA,NA
"2336","Leucobacterzeae",NA,NA,NA,NA,NA,NA,NA,NA
"2337","Leuconostoccarnosum",NA,NA,NA,NA,NA,NA,NA,NA
"2338","Leuconostoccitreum","Facultative anaerobe","Gram+","0",NA,NA,NA,NA,NA
"2339","Leuconostocfalkenbergense",NA,NA,NA,NA,NA,NA,NA,NA
"2340","LeuconostocfallaxKCTC3537",NA,NA,NA,NA,NA,NA,NA,NA
"2341","Leuconostocgasicomitatum","Facultative anaerobe","Gram+","0",NA,NA,NA,NA,NA
"2342","Leuconostocgelidumsubspaenigmaticum",NA,NA,NA,NA,NA,NA,NA,NA
"2343","LeuconostocgelidumsubspgelidumKCTC3527","Facultative anaerobe","Gram+","Nonmotile",1978,NA,NA,NA,NA
"2344","Leuconostocholzapfelii",NA,NA,NA,NA,NA,NA,NA,NA
"2345","Leuconostocinhae",NA,NA,NA,NA,NA,NA,NA,NA
"2346","Leuconostockimchii",NA,NA,NA,NA,NA,NA,NA,NA
"2347","Leuconostoclactis","Facultative anaerobe","Gram+","Nonmotile",NA,NA,NA,NA,NA
"2348","LeuconostoclactisKCTC3528DSM20202",NA,NA,NA,NA,NA,NA,NA,NA
"2349","Leuconostoclitchii",NA,NA,NA,NA,NA,NA,NA,NA
"2350","Leuconostocmesenteroides","Facultative anaerobe","Gram+","Nonmotile",NA,NA,NA,NA,NA
"2351","Leuconostocmesenteroidessubspdextranicum",NA,NA,NA,NA,NA,NA,NA,NA
"2352","Leuconostocmesenteroidessubspjonggajibkimchii",NA,NA,NA,NA,NA,NA,NA,NA
"2353","Leuconostocpalmae",NA,NA,NA,NA,NA,NA,NA,NA
"2354","Leuconostocrapi",NA,NA,NA,NA,NA,NA,NA,NA
"2355","Leuconostocsuionicum",NA,NA,NA,NA,NA,NA,NA,NA
"2356","LevilactobacillusbrevisATCC14869DSM20054","","Gram+","",NA,NA,NA,NA,NA
"2357","LevilactobacillussenmaizukeiDSM21775NBRC103853",NA,NA,NA,NA,NA,NA,NA,NA
"2358","Levilactobacillustangyuanensis",NA,NA,NA,NA,NA,NA,NA,NA
"2359","Levilactobacillustongjiangensis",NA,NA,NA,NA,NA,NA,NA,NA
"2360","Levyellamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2361","Ligaoazhengdingensis",NA,NA,NA,NA,NA,NA,NA,NA
"2362","Ligilactobacillusacidipiscis","Microaerophile","Gram+","0",NA,NA,NA,NA,NA
"2363","Ligilactobacillusagilis","Aerobe","Gram+","0",2305,NA,NA,NA,NA
"2364","Ligilactobacillusanimalis","Aerobe","Gram+","0",NA,NA,NA,NA,NA
"2365","Ligilactobacillusapodemi",NA,NA,NA,NA,NA,NA,NA,NA
"2366","Ligilactobacillusequi",NA,NA,NA,NA,NA,NA,NA,NA
"2367","Ligilactobacillusfaecis",NA,NA,NA,NA,NA,NA,NA,NA
"2368","Ligilactobacillushayakitensis",NA,NA,NA,NA,NA,NA,NA,NA
"2369","Ligilactobacillusmurinus","Aerobe","Gram+","0",NA,NA,NA,NA,NA
"2370","Ligilactobacillusruminis","Facultative anaerobe","Gram+","0",NA,NA,NA,NA,NA
"2371","Ligilactobacillussaerimneri",NA,NA,NA,NA,NA,NA,NA,NA
"2372","Ligilactobacillussalitolerans",NA,NA,NA,NA,NA,NA,NA,NA
"2373","Ligilactobacillussalivarius","Facultative anaerobe","Gram+","Nonmotile",NA,NA,NA,NA,NA
"2374","Lignipirellulacremea",NA,NA,NA,NA,NA,NA,NA,NA
"2375","Limnobacterlitoralis",NA,NA,NA,NA,NA,NA,NA,NA
"2376","Limnobacterthiooxidans",NA,NA,NA,NA,NA,NA,NA,NA
"2377","Limnobaculumparvum",NA,NA,NA,NA,NA,NA,NA,NA
"2378","Limnochordapilosa",NA,NA,NA,NA,NA,NA,NA,NA
"2379","Limnohabitansaustralis",NA,NA,NA,NA,NA,NA,NA,NA
"2380","LimnohabitansparvusIIB4",NA,NA,NA,NA,NA,NA,NA,NA
"2381","Limnohabitansradicicola",NA,NA,NA,NA,NA,NA,NA,NA
"2382","Limnoraphisrobusta",NA,NA,NA,NA,NA,NA,NA,NA
"2383","Limnospirafusiformis",NA,NA,NA,NA,NA,NA,NA,NA
"2384","Limnospiraindica",NA,NA,NA,NA,NA,NA,NA,NA
"2385","Limnospiramaxima",NA,NA,NA,NA,NA,NA,NA,NA
"2386","Limnovirgasoli",NA,NA,NA,NA,NA,NA,NA,NA
"2387","Limosilactobacillusagrestis",NA,NA,NA,NA,NA,NA,NA,NA
"2388","Limosilactobacillusalbertensis",NA,NA,NA,NA,NA,NA,NA,NA
"2389","Limosilactobacillusbalticus",NA,NA,NA,NA,NA,NA,NA,NA
"2390","Limosilactobacilluscaviae",NA,NA,NA,NA,NA,NA,NA,NA
"2391","LimosilactobacilluscoleohominisDSM14060",NA,NA,NA,NA,NA,NA,NA,NA
"2392","Limosilactobacillusfastidiosus",NA,NA,NA,NA,NA,NA,NA,NA
"2393","Limosilactobacillusfermentum",NA,NA,NA,NA,NA,NA,NA,NA
"2394","Limosilactobacillusfrumenti",NA,NA,NA,NA,NA,NA,NA,NA
"2395","Limosilactobacillusgastricus",NA,NA,NA,NA,NA,NA,NA,NA
"2396","Limosilactobacillusingluviei",NA,NA,NA,NA,NA,NA,NA,NA
"2397","Limosilactobacillusmucosae",NA,NA,NA,NA,NA,NA,NA,NA
"2398","Limosilactobacillusoris",NA,NA,NA,NA,NA,NA,NA,NA
"2399","Limosilactobacilluspanis",NA,NA,NA,NA,NA,NA,NA,NA
"2400","Limosilactobacilluspontis","Aerobe","Gram+","0",1811,NA,NA,NA,NA
"2401","Limosilactobacillusportuensis",NA,NA,NA,NA,NA,NA,NA,NA
"2402","Limosilactobacillusreuteri","Facultative anaerobe","Gram+","Nonmotile",NA,NA,NA,NA,NA
"2403","Limosilactobacillusreuterisubspreuteri","Facultative anaerobe","Gram+","0",1994,NA,NA,NA,NA
"2404","Limosilactobacillusrudii",NA,NA,NA,NA,NA,NA,NA,NA
"2405","Limosilactobacillussecaliphilus",NA,NA,NA,NA,NA,NA,NA,NA
"2406","Limosilactobacillusurinaemulieris",NA,NA,NA,NA,NA,NA,NA,NA
"2407","Limosilactobacillusvaginalis","Microaerophile","Gram+","0",NA,NA,NA,NA,NA
"2408","Liquorilactobacilluscacaonum",NA,NA,NA,NA,NA,NA,NA,NA
"2409","Liquorilactobacillusnagelii",NA,NA,NA,NA,NA,NA,NA,NA
"2410","Liquorilactobacillussicerae",NA,NA,NA,NA,NA,NA,NA,NA
"2411","Liquorilactobacillusvini",NA,NA,NA,NA,NA,NA,NA,NA
"2412","Listeriaaquatica",NA,NA,NA,NA,NA,NA,NA,NA
"2413","Listeriacornellensis",NA,NA,NA,NA,NA,NA,NA,NA
"2414","Listeriacossartiaesubspcayugensis",NA,NA,NA,NA,NA,NA,NA,NA
"2415","Listeriacossartiaesubspcossartiae",NA,NA,NA,NA,NA,NA,NA,NA
"2416","Listeriafleischmanniisubspcoloradonensis",NA,NA,NA,NA,NA,NA,NA,NA
"2417","Listeriagoaensis",NA,NA,NA,NA,NA,NA,NA,NA
"2418","Listerianewyorkensis",NA,NA,NA,NA,NA,NA,NA,NA
"2419","Listeriaportnoyi",NA,NA,NA,NA,NA,NA,NA,NA
"2420","Listeriariparia",NA,NA,NA,NA,NA,NA,NA,NA
"2421","Listeriarustica",NA,NA,NA,NA,NA,NA,NA,NA
"2422","Listeriaseeligeri",NA,NA,NA,NA,NA,NA,NA,NA
"2423","Listeriaswaminathanii",NA,NA,NA,NA,NA,NA,NA,NA
"2424","Listeriawelshimeri",NA,NA,NA,NA,NA,NA,NA,NA
"2425","Litchfieldiaalkalitelluris",NA,NA,NA,NA,NA,NA,NA,NA
"2426","Litchfieldiasalsa",NA,NA,NA,NA,NA,NA,NA,NA
"2427","Litorilineaaerophila",NA,NA,NA,NA,NA,NA,NA,NA
"2428","Longibaculummuris","Anaerobe","Gram+","0",3239,NA,NA,NA,NA
"2429","Longicatenacaecimuris","Anaerobe","Gram+","0",2788,NA,NA,NA,NA
"2430","Longimonashalophila",NA,NA,NA,NA,NA,NA,NA,NA
"2431","Loriellopsiscavernicola",NA,NA,NA,NA,NA,NA,NA,NA
"2432","Luosheniatenuis",NA,NA,NA,NA,NA,NA,NA,NA
"2433","Luteimonasabyssi",NA,NA,NA,NA,NA,NA,NA,NA
"2434","Luteimonaschenhongjianii",NA,NA,NA,NA,NA,NA,NA,NA
"2435","Luteimonasdeserti",NA,NA,NA,NA,NA,NA,NA,NA
"2436","Luteimonasfraxinea",NA,NA,NA,NA,NA,NA,NA,NA
"2437","Luteimonasterrae",NA,NA,NA,NA,NA,NA,NA,NA
"2438","Luteimonasweifangensis",NA,NA,NA,NA,NA,NA,NA,NA
"2439","Luteimonasyindakuii",NA,NA,NA,NA,NA,NA,NA,NA
"2440","Luteipulveratushalotolerans",NA,NA,NA,NA,NA,NA,NA,NA
"2441","Luteitaleapratensis",NA,NA,NA,NA,NA,NA,NA,NA
"2442","Lutibactercitreus",NA,NA,NA,NA,NA,NA,NA,NA
"2443","LutisporathermophilaDSM19022",NA,NA,NA,NA,NA,NA,NA,NA
"2444","Luxibactermassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2445","Lysinibacillusalkalisoli",NA,NA,NA,NA,NA,NA,NA,NA
"2446","Lysinibacillusboronitolerans",NA,NA,NA,NA,NA,NA,NA,NA
"2447","Lysinibacillusendophyticus",NA,NA,NA,NA,NA,NA,NA,NA
"2448","Lysinibacillusfusiformis",NA,NA,NA,NA,NA,NA,NA,NA
"2449","Lysinibacillushalotolerans",NA,NA,NA,NA,NA,NA,NA,NA
"2450","Lysinibacilluslouembei",NA,NA,NA,NA,NA,NA,NA,NA
"2451","Lysinibacillusmangiferihumi",NA,NA,NA,NA,NA,NA,NA,NA
"2452","Lysinibacillusodysseyi34hs1NBRC100172",NA,NA,NA,NA,NA,NA,NA,NA
"2453","Lysinibacilluspakistanensis",NA,NA,NA,NA,NA,NA,NA,NA
"2454","Lysinibacillusparviboronicapiens",NA,NA,NA,NA,NA,NA,NA,NA
"2455","Lysinibacillussphaericus","Aerobe","Gram+","0",4670,NA,NA,NA,NA
"2456","Lysinibacillustabacifolii",NA,NA,NA,NA,NA,NA,NA,NA
"2457","Lysinibacillustelephonicus",NA,NA,NA,NA,NA,NA,NA,NA
"2458","Lysinibacillusxylanilyticus",NA,NA,NA,NA,NA,NA,NA,NA
"2459","Lysinibactercavernae",NA,NA,NA,NA,NA,NA,NA,NA
"2460","Lysobacteraestuarii",NA,NA,NA,NA,NA,NA,NA,NA
"2461","Lysobacterginsengisoli",NA,NA,NA,NA,NA,NA,NA,NA
"2462","Lysobacterprofundi",NA,NA,NA,NA,NA,NA,NA,NA
"2463","Lysobacterpsychrotolerans",NA,NA,NA,NA,NA,NA,NA,NA
"2464","Lysobacterspongiae",NA,NA,NA,NA,NA,NA,NA,NA
"2465","Lysobactertelluris",NA,NA,NA,NA,NA,NA,NA,NA
"2466","Macellibacteroidesfermentans",NA,NA,NA,NA,NA,NA,NA,NA
"2467","Macrococcusbovicus",NA,NA,NA,NA,NA,NA,NA,NA
"2468","Macrococcusbrunensis",NA,NA,NA,NA,NA,NA,NA,NA
"2469","Macrococcuscanis",NA,NA,NA,NA,NA,NA,NA,NA
"2470","Macrococcuscarouselicus",NA,NA,NA,NA,NA,NA,NA,NA
"2471","Macrococcuscaseolyticus",NA,NA,NA,NA,NA,NA,NA,NA
"2472","Macrococcusequipercicus",NA,NA,NA,NA,NA,NA,NA,NA
"2473","Macrococcuslamae",NA,NA,NA,NA,NA,NA,NA,NA
"2474","Mageeibacillusindolicus",NA,NA,NA,NA,NA,NA,NA,NA
"2475","Magnetovibrioblakemorei",NA,NA,NA,NA,NA,NA,NA,NA
"2476","Mahellaaustraliensis501BON",NA,NA,NA,NA,NA,NA,NA,NA
"2477","Mailhellamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2478","Mammaliicoccusfleurettii",NA,NA,NA,NA,NA,NA,NA,NA
"2479","Mammaliicoccuslentus","Facultative anaerobe","Gram+","0",NA,NA,NA,NA,NA
"2480","Mammaliicoccussciuri",NA,NA,NA,NA,NA,NA,NA,NA
"2481","Mangrovibacterphragmitis",NA,NA,NA,NA,NA,NA,NA,NA
"2482","Mangrovibacteryixingensis",NA,NA,NA,NA,NA,NA,NA,NA
"2483","Mangrovibacteriumdiazotrophicum",NA,NA,NA,NA,NA,NA,NA,NA
"2484","Mannheimiagranulomatis",NA,NA,NA,NA,NA,NA,NA,NA
"2485","Mannheimiapernigra",NA,NA,NA,NA,NA,NA,NA,NA
"2486","Marasmitruncusmassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2487","Maribacterhydrothermalis",NA,NA,NA,NA,NA,NA,NA,NA
"2488","Maricurvusnonylphenolicus",NA,NA,NA,NA,NA,NA,NA,NA
"2489","Marileptolyngbyasina",NA,NA,NA,NA,NA,NA,NA,NA
"2490","Marinibactrumhalimedae",NA,NA,NA,NA,NA,NA,NA,NA
"2491","Mariniblastusfucicola",NA,NA,NA,NA,NA,NA,NA,NA
"2492","Marinilabiliarubra",NA,NA,NA,NA,NA,NA,NA,NA
"2493","MarinilabiliasalmonicolorJCM21150",NA,NA,NA,NA,NA,NA,NA,NA
"2494","Mariniplasmaanaerobium",NA,NA,NA,NA,NA,NA,NA,NA
"2495","Marinisporobacterbalticus",NA,NA,NA,NA,NA,NA,NA,NA
"2496","Marinithermofilumabyssi",NA,NA,NA,NA,NA,NA,NA,NA
"2497","Marinobacteriumaestuarii",NA,NA,NA,NA,NA,NA,NA,NA
"2498","Marinobacteriumprofundum",NA,NA,NA,NA,NA,NA,NA,NA
"2499","Marinobacteriumsediminicola",NA,NA,NA,NA,NA,NA,NA,NA
"2500","Marinomonasaquiplantarum",NA,NA,NA,NA,NA,NA,NA,NA
"2501","Marinomonasepiphytica",NA,NA,NA,NA,NA,NA,NA,NA
"2502","MarinomonasposidonicaIVIAPo181",NA,NA,NA,NA,NA,NA,NA,NA
"2503","Marinomonasvulgaris",NA,NA,NA,NA,NA,NA,NA,NA
"2504","Marispirillumindicum",NA,NA,NA,NA,NA,NA,NA,NA
"2505","Marivirgaharenae",NA,NA,NA,NA,NA,NA,NA,NA
"2506","Marivirgasericea",NA,NA,NA,NA,NA,NA,NA,NA
"2507","Marivitahallyeonensis",NA,NA,NA,NA,NA,NA,NA,NA
"2508","Marmoricolaaquaticus",NA,NA,NA,NA,NA,NA,NA,NA
"2509","Marmoricolaendophyticus",NA,NA,NA,NA,NA,NA,NA,NA
"2510","Marmoricolasoli",NA,NA,NA,NA,NA,NA,NA,NA
"2511","Marseillamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2512","Marseillibactermassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2513","Marvinbryantiaformatexigens",NA,NA,NA,NA,NA,NA,NA,NA
"2514","Massiliaagri",NA,NA,NA,NA,NA,NA,NA,NA
"2515","Massiliaarenae",NA,NA,NA,NA,NA,NA,NA,NA
"2516","Massiliaarenosa",NA,NA,NA,NA,NA,NA,NA,NA
"2517","Massiliabrevitalea",NA,NA,NA,NA,NA,NA,NA,NA
"2518","Massiliafrigida",NA,NA,NA,NA,NA,NA,NA,NA
"2519","Massiliajejuensis",NA,NA,NA,NA,NA,NA,NA,NA
"2520","Massiliamucilaginosa",NA,NA,NA,NA,NA,NA,NA,NA
"2521","Massilianeuiana",NA,NA,NA,NA,NA,NA,NA,NA
"2522","Massiliapuerhi",NA,NA,NA,NA,NA,NA,NA,NA
"2523","Massiliasoli",NA,NA,NA,NA,NA,NA,NA,NA
"2524","Massiliasuwonensis",NA,NA,NA,NA,NA,NA,NA,NA
"2525","Massiliavarians",NA,NA,NA,NA,NA,NA,NA,NA
"2526","Massilibacillusmassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2527","Massilicolitimonensis",NA,NA,NA,NA,NA,NA,NA,NA
"2528","Massiliimaliamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2529","Massiliimaliatimonensis",NA,NA,NA,NA,NA,NA,NA,NA
"2530","Massilimicrobiotatimonensis",NA,NA,NA,NA,NA,NA,NA,NA
"2531","Massilioclostridiumcoli","","Gram-","",NA,NA,NA,NA,NA
"2532","Massiliprevotellamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2533","Massilistercoratimonensis",NA,NA,NA,NA,NA,NA,NA,NA
"2534","Mediannikoviicoccusvaginalis",NA,NA,NA,NA,NA,NA,NA,NA
"2535","Mediterraneamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2536","Mediterraneibacterbutyricigenes",NA,NA,NA,NA,NA,NA,NA,NA
"2537","Mediterraneibactercatenae",NA,NA,NA,NA,NA,NA,NA,NA
"2538","Mediterraneibacterglycyrrhizinilyticus",NA,NA,NA,NA,NA,NA,NA,NA
"2539","Mediterraneibactermassiliensis","","Gram+","",NA,NA,NA,NA,NA
"2540","MegamonasfuniformisYIT11815","Anaerobe","Gram-","0",2585,NA,NA,NA,NA
"2541","Megamonashypermegale",NA,NA,NA,NA,NA,NA,NA,NA
"2542","Megamonasrupellensis",NA,NA,NA,NA,NA,NA,NA,NA
"2543","Megasphaeracerevisiae",NA,NA,NA,NA,NA,NA,NA,NA
"2544","MegasphaeracerevisiaeDSM20462",NA,NA,NA,NA,NA,NA,NA,NA
"2545","Megasphaeraelsdenii",NA,NA,NA,NA,NA,NA,NA,NA
"2546","MegasphaeraelsdeniiDSM20460","Anaerobe","Gram-","0",2304,NA,NA,NA,NA
"2547","Megasphaerahexanoica",NA,NA,NA,NA,NA,NA,NA,NA
"2548","Megasphaeraindica",NA,NA,NA,NA,NA,NA,NA,NA
"2549","Megasphaeralornae",NA,NA,NA,NA,NA,NA,NA,NA
"2550","Megasphaeramassiliensis","Anaerobe","Gram-","Nonmotile",2599,NA,NA,NA,NA
"2551","Megasphaeramicronuciformis",NA,NA,NA,NA,NA,NA,NA,NA
"2552","Megasphaerapaucivorans",NA,NA,NA,NA,NA,NA,NA,NA
"2553","Megasphaerastantonii",NA,NA,NA,NA,NA,NA,NA,NA
"2554","Megasphaerasueciensis",NA,NA,NA,NA,NA,NA,NA,NA
"2555","Megasphaeravaginalis",NA,NA,NA,NA,NA,NA,NA,NA
"2556","Melghirimycesprofundicolus",NA,NA,NA,NA,NA,NA,NA,NA
"2557","Melghirimycesthermohalophilus",NA,NA,NA,NA,NA,NA,NA,NA
"2558","MelioribacterroseusP3M2",NA,NA,NA,NA,NA,NA,NA,NA
"2559","MelissococcusplutoniusATCC35311",NA,NA,NA,NA,NA,NA,NA,NA
"2560","Merdibactermassiliensis","0","Gram+","0",2453,NA,NA,NA,NA
"2561","Merdimmobilishominis",NA,NA,NA,NA,NA,NA,NA,NA
"2562","Merdimonasfaecis",NA,NA,NA,NA,NA,NA,NA,NA
"2563","Mesobacilluscampisalis",NA,NA,NA,NA,NA,NA,NA,NA
"2564","Mesobacillusfermenti",NA,NA,NA,NA,NA,NA,NA,NA
"2565","Mesobacillusharenae",NA,NA,NA,NA,NA,NA,NA,NA
"2566","Mesobacillusmaritimus",NA,NA,NA,NA,NA,NA,NA,NA
"2567","Mesobacillusrigiliprofundi",NA,NA,NA,NA,NA,NA,NA,NA
"2568","Mesobacilluszeae",NA,NA,NA,NA,NA,NA,NA,NA
"2569","Mesoplasmamelaleucae",NA,NA,NA,NA,NA,NA,NA,NA
"2570","Mesoplasmaphoturis",NA,NA,NA,NA,NA,NA,NA,NA
"2571","Mesorhizobiumcomanense",NA,NA,NA,NA,NA,NA,NA,NA
"2572","Mesorhizobiumerdmanii",NA,NA,NA,NA,NA,NA,NA,NA
"2573","Mesorhizobiumintechi",NA,NA,NA,NA,NA,NA,NA,NA
"2574","Mesorhizobiumjarvisii",NA,NA,NA,NA,NA,NA,NA,NA
"2575","Mesorhizobiumkowhaii",NA,NA,NA,NA,NA,NA,NA,NA
"2576","Mesorhizobiumnewzealandense",NA,NA,NA,NA,NA,NA,NA,NA
"2577","Mesorhizobiumsangaii",NA,NA,NA,NA,NA,NA,NA,NA
"2578","Mesorhizobiumsophorae",NA,NA,NA,NA,NA,NA,NA,NA
"2579","Mesorhizobiumterrae",NA,NA,NA,NA,NA,NA,NA,NA
"2580","Mesorhizobiumthiogangeticum",NA,NA,NA,NA,NA,NA,NA,NA
"2581","Mesorhizobiumtianshanense",NA,NA,NA,NA,NA,NA,NA,NA
"2582","Mesorhizobiumwaimense",NA,NA,NA,NA,NA,NA,NA,NA
"2583","Mesorhizobiumwaitakense",NA,NA,NA,NA,NA,NA,NA,NA
"2584","Mesosutterellamultiformis",NA,NA,NA,NA,NA,NA,NA,NA
"2585","Metabacilluscrassostreae",NA,NA,NA,NA,NA,NA,NA,NA
"2586","Metabacillusfastidiosus",NA,NA,NA,NA,NA,NA,NA,NA
"2587","Metabacillusgalliciensis",NA,NA,NA,NA,NA,NA,NA,NA
"2588","Metabacilluslitoralis",NA,NA,NA,NA,NA,NA,NA,NA
"2589","Metabacillussediminilitoris",NA,NA,NA,NA,NA,NA,NA,NA
"2590","Metalysinibacillusjejuensis",NA,NA,NA,NA,NA,NA,NA,NA
"2591","Metalysinibacillussaudimassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2592","Metamycoplasmahominis",NA,NA,NA,NA,NA,NA,NA,NA
"2593","MetamycoplasmahominisATCC23114","Aerobe","Gram-","Nonmotile",563,NA,NA,NA,NA
"2594","Metaprevotellamassiliensis",NA,NA,NA,NA,NA,NA,NA,NA
"2595","Metasolibacillusfluoroglycofenilyticus",NA,NA,NA,NA,NA,NA,NA,NA
"2596","Metasolibacillusmeyeri",NA,NA,NA,NA,NA,NA,NA,NA
"2597","Methanobacteriumaarhusense",NA,NA,NA,NA,NA,NA,NA,NA
"2598","Methanobacteriumbeijingense",NA,NA,NA,NA,NA,NA,NA,NA
"2599","Methanobrevibacterarboriphilus",NA,NA,NA,NA,NA,NA,NA,NA
"2600","Methanobrevibactercuticularis",NA,NA,NA,NA,NA,NA,NA,NA
"2601","Methanobrevibactermillerae",NA,NA,NA,NA,NA,NA,NA,NA
"2602","Methanobrevibacterolleyae",NA,NA,NA,NA,NA,NA,NA,NA
"2603","Methanobrevibacteroralis",NA,NA,NA,NA,NA,NA,NA,NA
"2604","MethanobrevibactersmithiiATCC35061","Obligate anaerobe","Gram-","0",NA,NA,NA,NA,NA
"2605","Methanobrevibacterwoesei",NA,NA,NA,NA,NA,NA,NA,NA
"2606","MethanomassiliicoccusluminyensisB10","Anaerobe","Gram-","0",2669,NA,NA,NA,NA
"2607","Methanomicrobiummobile",NA,NA,NA,NA,NA,NA,NA,NA
"2608","Methanosphaeracuniculi",NA,NA,NA,NA,NA,NA,NA,NA
"2609","MethanosphaerastadtmanaeDSM3091","Anaerobe","Gram-","Nonmotile",1592,NA,NA,NA,NA
"2610","Methanosphaerulapalustris",NA,NA,NA,NA,NA,NA,NA,NA
"2611","Methylobacillusarboreus",NA,NA,NA,NA,NA,NA,NA,NA
"2612","Methylobacillusflagellatus",NA,NA,NA,NA,NA,NA,NA,NA
"2613","Methylobacillusmethanolivorans",NA,NA,NA,NA,NA,NA,NA,NA
"2614","Methylobacteriumaquaticum",NA,NA,NA,NA,NA,NA,NA,NA
"2615","Methylobacteriumbrachiatum",NA,NA,NA,NA,NA,NA,NA,NA
"2616","Methylobacteriumbullatum",NA,NA,NA,NA,NA,NA,NA,NA
"2617","Methylobacteriumcurrus",NA,NA,NA,NA,NA,NA,NA,NA
"2618","Methylobacteriumdurans",NA,NA,NA,NA,NA,NA,NA,NA
"2619","Methylobacteriumgregans",NA,NA,NA,NA,NA,NA,NA,NA
"2620","Methylobacteriumhispanicum",NA,NA,NA,NA,NA,NA,NA,NA
"2621","Methylobacteriumisbiliense",NA,NA,NA,NA,NA,NA,NA,NA
"2622","Methylobacteriumlongum",NA,NA,NA,NA,NA,NA,NA,NA
"2623","Methylobacteriummarchantiae",NA,NA,NA,NA,NA,NA,NA,NA
"2624","Methylobacteriummesophilicum",NA,NA,NA,NA,NA,NA,NA,NA
"2625","Methylobacteriumorganophilum",NA,NA,NA,NA,NA,NA,NA,NA
"2626","Methylobacteriumphyllostachyos",NA,NA,NA,NA,NA,NA,NA,NA
"2627","Methylobacteriumradiodurans",NA,NA,NA,NA,NA,NA,NA,NA
"2628","MethylobacteriumradiotoleransJCM2831","Aerobe","Gram-","Motile",6510,NA,NA,NA,NA
"2629","Methylobacteriumtardum",NA,NA,NA,NA,NA,NA,NA,NA
"2630","Methylobacteriumtarhaniae",NA,NA,NA,NA,NA,NA,NA,NA
"2631","Methylobacteriumterrae",NA,NA,NA,NA,NA,NA,NA,NA
"2632","Methylococcusmobilis",NA,NA,NA,NA,NA,NA,NA,NA
"2633","Methylocystisheyeri",NA,NA,NA,NA,NA,NA,NA,NA
"2634","Methyloligellasolikamskensis",NA,NA,NA,NA,NA,NA,NA,NA
"2635","MethylophagalonarensisMPL",NA,NA,NA,NA,NA,NA,NA,NA
"2636","Methylophagasulfidovorans",NA,NA,NA,NA,NA,NA,NA,NA
